nu,l,n
1222.5940626073514,1,18
1251.032372607333,2,18
1260.1499987141972,0,18
1290.9943489368236,1,18
1321.8748802154296,2,18
1329.1291819393434,0,19
1360.7695153935215,1,19
1394.743526958385,2,19
1399.1033442039293,0,20
1428.3195469074726,1,20
1466.599104133911,2,20
1470.0724855079545,0,21
1501.767090546102,1,21
1534.275769343791,2,21
1539.3230266529479,0,22
1571.632709642749,1,22
