nu,l,n
489.7340344008873,1,12
529.990069542291,1,12
554.3757920652378,0,13
572.2506171036896,1,13
596.7116972364107,0,14
614.9030242359144,1,14
638.7612434904415,0,15
656.2291374361123,1,15
674.1642485623836,1,15
680.2682149540976,0,16
697.4497499826264,1,16
720.9613242321919,0,17
738.8813638365083,1,17
763.2369433155455,0,18
782.1818464127916,1,18
805.7838497940862,0,19
825.4220429012555,1,19
849.9434091217961,0,20
868.406023516487,1,20
891.3298084098134,0,21
