nu,l,n
603.577648646454,1,12
631.6210148125261,1,12
636.9932470162779,2,12
639.2617268846171,0,13
667.4008504900522,1,13
681.4311538166495,2,13
685.6360510167946,0,14
707.9151974509049,1,14
728.322146705678,2,14
732.1227069797322,0,15
740.2854866816415,1,15
745.9728145780989,3,14
763.9126150848743,1,15
775.27685196345,2,15
779.6390713913052,0,16
792.9691153081845,3,15
805.7562220430563,1,16
823.5233732749643,2,16
827.5485972105388,0,17
842.1517352093674,3,16
851.4565551906722,1,17
871.3767331788179,2,17
875.4394010579792,0,18
888.994108636379,3,17
897.5687717177425,1,18
918.5373801263169,2,18
923.2927609618329,0,19
936.8836028919108,3,18
940.7041947296668,1,19
965.5669732712621,1,19
967.7574439710864,2,19
971.1835648092732,0,20
998.0495943327589,1,20
