nu,l,n
79.87712283564662,0,10
86.42569096935607,2,10
87.3193779146623,0,11
91.57209510267126,1,11
94.23774754298123,2,11
95.10061769707,0,12
99.02975857729568,1,12
102.28093005073731,2,12
103.035941435565,0,13
106.96508231579067,1,13
110.06216983314502,2,13
110.89422319601633,0,14
115.22398236206894,1,14
118.45974543990185,0,15
123.03603893569408,1,15
126.44129436522302,0,16
