# Target,numax,Amax,sigma_env
Gemma,0.031589481915501386,0.0004984847028885013,0.0315895925349481
Pooh,0.00982161327377225,0.007472063693123432,0.009821671625517643
Boogie,0.04234594196957711,0.0011278865119975952,0.042373108483553946
35 Dra,0.03953852939766063,0.0002234554734162105,0.03955580808775332
36 Dra,0.14021573498831755,9.32494959656264e-05,0.14319948505314656
HD,0.030603183357687525,0.05242672280992497,0.03224225468242461
