$\nu_{max}$	845.1248311808284	2.9152129824383337	2.8468678946993577
$A_{max}$	4.004289857622412	0.11695327967215796	0.11819871093107448
$\sigma_{env}$	97.7918379677813	3.7059993155907733	3.8547937167893025
$\sigma_0$	34.57149698767305	0.7843384644007756	0.7812513413832178
$\sigma_1$	61.85110324727105	0.9147676371402582	0.8752071068912883
$\sigma_2$	57.306259755988734	0.9162824179854709	0.8965680031357337
$\tau_0$	0.006760909667097924	0.00029062642034111217	0.00029842005242258426
$\tau_1$	0.0007138146229538121	1.568257865207476e-05	1.6361890414048267e-05
$\tau_2$	0.00023783224354249004	7.435115416496726e-06	8.208532730261109e-06
W	3.8670505351082607	0.006604711195461022	0.006586665499256572
